Release Group,%...5,%...7,tconst,startYear,runtimeMinutes,g1,g2,g3,averageRating,numVotes,Total
Ready Player One,23.6%,76.4%,tt1677720,2018-01-01,140,Action,Adventure,Sci-Fi,7.4,417561,582890172
Operation Red Sea,0.3%,99.7%,tt6878882,2018-01-01,142,Action,Drama,Thriller,6.6,7021,579330426
Kong: Skull Island,29.7%,70.3%,tt3731562,2017-01-01,118,Action,Adventure,Fantasy,6.7,308548,566652812
Detective Chinatown 2,0.4%,99.6%,tt7752454,2018-01-01,121,Action,Comedy,Mystery,6.1,2502,544185156
The Meg,27.4%,72.6%,tt4779682,2018-01-01,113,Action,Horror,Sci-Fi,5.6,166010,530243742
Ralph Breaks the Internet,38%,62%,tt5848272,2018-01-01,112,Adventure,Animation,Comedy,7,153001,529323962
Hotel Transylvania 3: Summer Vacation,31.7%,68.3%,tt5220122,2018-01-01,97,Adventure,Animation,Comedy,6.3,70450,528583774
The Boss Baby,33.1%,66.9%,tt3874544,2017-01-01,97,Adventure,Animation,Comedy,6.3,122138,527965936
Dunkirk,35.8%,64.2%,tt5013056,2017-01-01,106,Action,Drama,History,7.8,626205,525245546
How to Train Your Dragon: The Hidden World,30.8%,69.2%,tt2386490,2019-01-01,104,Action,Adventure,Animation,7.4,121684,521799505
The Grinch,52.9%,47.1%,tt2709692,2018-01-01,85,Adventure,Animation,Comedy,6.3,67568,511595957
Venom: Let There Be Carnage,42.1%,57.9%,tt7097896,2021-01-01,97,Action,Adventure,Sci-Fi,6,186566,506863592
Maleficent: Mistress of Evil,23.2%,76.8%,tt4777008,2019-01-01,119,Adventure,Family,Fantasy,6.6,100306,491730089
War for the Planet of the Apes,29.9%,70.1%,tt3450958,2017-01-01,140,Action,Adventure,Drama,7.4,248181,490719763
It Chapter Two,44.7%,55.3%,tt7349950,2019-01-01,169,Drama,Fantasy,Horror,6.5,246028,473093228
Godzilla vs. Kong,21.6%,78.4%,tt5034838,2021-01-01,113,Action,Sci-Fi,Thriller,6.3,194964,468216094
Bumblebee,27.2%,72.8%,tt4701182,2018-01-01,114,Action,Adventure,Sci-Fi,6.7,158224,467989645
The Eight Hundred,<0.1%,99.9%,tt7294150,2020-01-01,149,Action,Drama,History,6.7,5249,461421559
Demon Slayer the Movie: Mugen Train,10.9%,89.1%,tt11032374,2020-01-01,117,Action,Adventure,Animation,8.3,50833,453349245
Dying to Survive,-,100%,tt7362036,2018-01-01,117,Comedy,Drama,NA,7.9,5916,451176639
"My People, My Country",0.5%,99.5%,tt10147382,2019-01-01,154,Drama,History,NA,6.4,1770,450064993
A Star Is Born,49.4%,50.6%,tt1517451,2018-01-01,136,Drama,Music,Romance,7.6,370687,436188866
The Greatest Showman,40.1%,59.9%,tt1485796,2017-01-01,105,Biography,Drama,Musical,7.6,269477,434993183
Pokémon Detective Pikachu,33.3%,66.7%,tt5884052,2019-01-01,104,Action,Adventure,Comedy,6.6,155812,433005346
Shang-Chi and the Legend of the Ten Rings,51.9%,48.1%,tt9376612,2021-01-01,132,Action,Adventure,Fantasy,7.5,339695,432243292
The Secret Life of Pets 2,36.9%,63.1%,tt5113040,2019-01-01,86,Adventure,Animation,Comedy,6.5,59679,430051293
Rampage,23.6%,76.4%,tt2231461,2018-01-01,107,Action,Adventure,Sci-Fi,6.1,161401,428028233
Bad Boys for Life,48.4%,51.6%,tt1502397,2020-01-01,124,Action,Comedy,Crime,6.5,154194,426505244
"My People, My Homeland",-,100%,tt12363162,2020-01-01,153,Drama,NA,NA,6.5,762,422390820
The Captain,0.2%,99.8%,tt6763252,2017-01-01,118,Drama,History,Thriller,7.3,17190,417282021
Kingsman: The Golden Circle,24.4%,75.6%,tt4649466,2017-01-01,141,Action,Adventure,Comedy,6.7,314487,410902662
The Mummy,19.6%,80.4%,tt0120616,1999-01-01,124,Action,Adventure,Fantasy,7.1,417390,409231607
Sing 2,40.1%,59.9%,tt6467266,2021-01-01,110,Adventure,Animation,Comedy,7.5,41393,406024390
Alita: Battle Angel,21.2%,78.8%,tt0437086,2019-01-01,122,Action,Adventure,Sci-Fi,7.3,257262,404980543
Eternals,41%,59%,tt9032400,2021-01-01,156,Action,Adventure,Fantasy,6.4,282531,402064899
Dune,27%,73%,tt1160419,2021-01-01,155,Action,Adventure,Drama,8.1,530333,400671789
Mamma Mia! Here We Go Again,30.5%,69.5%,tt6911608,2018-01-01,114,Comedy,Musical,Romance,6.6,91384,395044706
Solo: A Star Wars Story,54.4%,45.6%,tt3778644,2018-01-01,135,Action,Adventure,Sci-Fi,6.9,328086,392924807
Godzilla: King of the Monsters,28.6%,71.4%,tt3741700,2019-01-01,132,Action,Adventure,Fantasy,6,174550,386600138
1917,41.4%,58.6%,tt8579674,2019-01-01,119,Action,Drama,War,8.3,541457,384919389
Cars 3,39.8%,60.2%,tt3606752,2017-01-01,102,Adventure,Animation,Comedy,6.7,92088,383930656
Fifty Shades Darker,30%,70%,tt4465564,2017-01-01,118,Drama,Romance,NA,4.6,99704,381545846
Black Widow,48.4%,51.6%,tt3480822,2021-01-01,134,Action,Adventure,Sci-Fi,6.7,344492,379751655
Spider-Man: Into the Spider-Verse,50.7%,49.3%,tt4633694,2018-01-01,117,Action,Adventure,Animation,8.4,480794,375540831
Once Upon a Time... In Hollywood,38.1%,61.9%,tt7131622,2019-01-01,161,Comedy,Drama,NA,7.6,679579,374375059
Fifty Shades Freed,27%,73%,tt4477536,2018-01-01,105,Drama,Romance,Thriller,4.5,63401,371985018
