Release Group,%...5,%...7,tconst,startYear,runtimeMinutes,g1,g2,g3,averageRating,numVotes,Total
Long Shot,56.3%,43.7%,tt2139881,2019-01-01,125,Comedy,Romance,NA,6.8,107765,53873809
1987: When the Day Comes,-,100%,tt6493286,2017-01-01,129,Drama,NA,NA,7.8,4841,53834292
The Outlaws,-,100%,tt7468056,2017-01-01,121,Action,Crime,Thriller,7.2,6337,52946454
Man in Love,-,100%,tt14428606,2021-01-01,115,Drama,Romance,NA,7,1546,52946097
Break Through the Darkness,-,100%,tt13655044,2021-01-01,112,Drama,NA,NA,5.5,152,52700000
Greenland,-,100%,tt7737786,2020-01-01,119,Action,Drama,Sci-Fi,6.4,109065,52300000
Tolo Tolo,-,100%,tt10413566,2020-01-01,90,Comedy,Family,NA,5.8,3482,52186426
Teen Titans GO! To the Movies,57.2%,42.8%,tt7424200,2018-01-01,84,Action,Adventure,Animation,6.8,18860,52090236
Escape Room: Tournament of Champions,48.8%,51.2%,tt9844522,2021-01-01,88,Action,Adventure,Horror,5.7,37130,51914753
Slender Man,59.1%,40.9%,tt5690360,2018-01-01,93,Horror,Mystery,Thriller,3.2,33106,51738549
Schemes in Antiques,<0.1%,99.9%,tt11482948,2021-01-01,123,Action,Adventure,Comedy,6,241,51637422
Breaking In,91.1%,8.9%,tt7137846,2018-01-01,88,Action,Thriller,NA,5.4,15708,51411620
Cry Me a Sad River,-,100%,tt9036926,2018-01-01,104,Drama,Romance,NA,6.3,340,51400614
Simmba,9.9%,90.1%,tt7212726,2018-01-01,158,Action,Comedy,Crime,5.7,23194,51329025
Vanguard,1.6%,98.4%,tt9695722,2020-01-01,107,Action,Adventure,Comedy,4.7,5150,50866901
Kingdom,-,100%,tt9099938,2019-01-01,134,Action,History,War,6.6,2191,50574061
Breakthrough,80.7%,19.3%,tt7083526,2019-01-01,116,Biography,Drama,NA,6.2,9532,50444358
Just Mercy,71.4%,28.6%,tt4916630,2019-01-01,137,Biography,Crime,Drama,7.6,63768,50401502
Uncut Gems,100%,-,tt5727208,2019-01-01,135,Crime,Drama,Thriller,7.4,262762,50023780
Family is Family,-,100%,tt6859418,2018-01-01,107,Comedy,NA,NA,5.7,3936,49954866
21 Bridges,57.1%,42.9%,tt8688634,2019-01-01,99,Action,Thriller,NA,6.6,63152,49939757
Luca,-,100%,tt12801262,2021-01-01,95,Adventure,Animation,Comedy,7.5,145223,49750471
Song of Youth,-,100%,tt10066162,2019-01-01,112,Comedy,Drama,NA,6.2,277,49615508
Death Wish,68.6%,31.4%,tt1137450,2018-01-01,107,Action,Crime,Drama,6.3,71036,49562710
The Grudge,42.9%,57.1%,tt0391198,2004-01-01,91,Horror,Mystery,Thriller,5.9,143450,49511319
The New Mutants,48.5%,51.5%,tt4682266,2020-01-01,94,Action,Horror,Mystery,5.3,73478,49169594
Little,83.4%,16.6%,tt8085790,2019-01-01,109,Comedy,Fantasy,Romance,5.5,13161,48987096
Bleeding Steel,-,100%,tt5813366,2017-01-01,109,Action,Sci-Fi,Thriller,5.1,9894,48825526
Fantasy Island,55.9%,44.1%,tt0983946,2020-01-01,109,Fantasy,Horror,Mystery,4.9,48489,48811343
Isn't It Romantic,100%,-,tt2452244,2019-01-01,89,Comedy,Fantasy,Musical,5.9,68374,48791187
Belfast,19.1%,80.9%,tt12789558,2021-01-01,98,Biography,Drama,History,7.3,50721,48540228
The Legend of Hei,-,100%,tt10734928,2019-01-01,101,Action,Adventure,Animation,7.2,1387,48507082
Logan Lucky,57.3%,42.7%,tt5439796,2017-01-01,118,Action,Comedy,Crime,7,145853,48453605
Boo 2! A Madea Halloween,97.9%,2.1%,tt6217804,2017-01-01,101,Comedy,Drama,Horror,3.8,4700,48333932
Sky Hunter,-,100%,tt6908536,2017-01-01,115,Action,Drama,Romance,6.1,2699,48065601
Countdown,53.4%,46.6%,tt10039344,2019-01-01,90,Horror,Thriller,NA,5.4,35499,48021766
After We Collided,5%,95%,tt10362466,2020-01-01,105,Drama,Romance,NA,5.3,29025,47990414
"From Today, It's My Turn: The Movie",-,100%,tt11427318,2020-01-01,114,Action,Adventure,Comedy,6.4,444,47866854
Midsommar,57.3%,42.7%,tt8772262,2019-01-01,148,Drama,Horror,Mystery,7.1,281200,47863365
Queen & Slim,91.5%,8.5%,tt8722346,2019-01-01,132,Crime,Drama,Romance,7.1,30389,47861328
Phantom Thread,44.4%,55.6%,tt5776858,2017-01-01,130,Drama,Romance,NA,7.4,127775,47756590
Trolls 2: World Tour,0.9%,99.1%,tt6587640,2020-01-01,91,Adventure,Animation,Comedy,6.1,22127,47642456
47 Meters Down: Uncaged,46.8%,53.2%,tt7329656,2019-01-01,90,Adventure,Drama,Horror,5,25120,47582563
The Magic Tuche,-,100%,tt7066382,2018-01-01,95,Comedy,NA,NA,4.6,1153,47427990
Rough Night,46.7%,53.3%,tt4799050,2017-01-01,101,Comedy,NA,NA,5.2,51258,47347283
Don't Breathe 2,69.1%,30.9%,tt6246322,2021-01-01,98,Action,Crime,Horror,6.1,46389,47312950
Golden Job,0.6%,99.4%,tt7521990,2018-01-01,100,Action,Adventure,Crime,5.7,1292,47287851
Son of Bigfoot,0.6%,99.4%,tt5715410,2017-01-01,92,Adventure,Animation,Comedy,6.1,7004,47046281
My Hero Academia: World Heroes' Mission,26.1%,73.9%,tt13544716,2021-01-01,104,Action,Adventure,Animation,7.4,2854,46951862
Mary Queen of Scots,35.3%,64.7%,tt2328900,2018-01-01,124,Biography,Drama,History,6.3,48980,46712809
Uncle Drew,91%,9%,tt7334528,2018-01-01,103,Comedy,Sport,NA,5.8,14059,46664414
Three Seconds,-,100%,tt5987402,2017-01-01,133,Biography,Drama,Sport,6.7,4830,46596415
Acrimony,93.8%,6.2%,tt6063050,2018-01-01,120,Thriller,NA,NA,5.8,8720,46403669
The French Dispatch,34.8%,65.2%,tt8847712,2021-01-01,107,Comedy,Drama,Romance,7.2,97380,46333545
The Thousand Faces of Dunjia,0.3%,99.7%,tt6814080,2017-01-01,113,Action,Adventure,Fantasy,5.4,1269,46263237
The Battleship Island,2.4%,97.6%,tt5969696,2017-01-01,132,Action,Drama,History,7.1,6948,46183383
Hanson and the Beast,-,100%,tt7787418,2017-01-01,110,Comedy,Fantasy,Romance,5.2,525,46154323
Asterix: The Secret of the Magic Potion,2.8%,97.2%,tt8001346,2018-01-01,87,Adventure,Animation,Comedy,6.7,9407,45972321
Gintama Live Action the Movie,-,100%,tt5805470,2017-01-01,131,Action,Adventure,Comedy,6.1,2409,45746967
Chasing the Dragon II: Wild Wild Bunch,0.4%,99.6%,tt10279010,2019-01-01,101,Action,Biography,Crime,5.8,621,45733356
Judy,53.2%,46.8%,tt7549996,2019-01-01,118,Biography,Drama,Romance,6.8,49122,45701880
Guilty of Mind,-,100%,tt7232860,2017-01-01,110,Action,Crime,Drama,4.8,154,45698503
Tanhaji: The Unsung Warrior,-,100%,tt8108274,2020-01-01,135,Action,Biography,Drama,7.9,28163,45221814
Flatliners,37.4%,62.6%,tt0099582,1990-01-01,115,Drama,Horror,Sci-Fi,6.5,85529,45158254
Love Will Tear Us Apart,-,100%,tt0199724,1999-01-01,109,Drama,NA,NA,6.1,211,45060290
Child's Play,65%,35%,tt0094862,1988-01-01,87,Horror,Thriller,NA,6.6,98810,44907074
Bad Genius,-,100%,tt6788942,2017-01-01,130,Comedy,Crime,Drama,7.6,20320,44560421
Mother!,40%,60%,tt5109784,2017-01-01,121,Drama,Horror,Mystery,6.6,215523,44516999
Unhinged,47%,53%,tt10059518,2020-01-01,90,Action,Thriller,NA,6,63357,44331465
Winchester,57%,43%,tt1072748,2018-01-01,99,Drama,Fantasy,Horror,5.4,33495,44019588
Wind River,76.9%,23.1%,tt5362988,2017-01-01,107,Crime,Drama,Mystery,7.7,240868,43980821
In the Heights,68.2%,31.8%,tt1321510,2021-01-01,143,Drama,Musical,Romance,7.3,43930,43975167
The End of Endless Love,-,100%,tt13154372,2020-01-01,102,Drama,Romance,Sci-Fi,6.6,44,43950000
Battle of Memories,1.4%,98.6%,tt5636668,2017-01-01,119,Fantasy,Mystery,Sci-Fi,6.4,1063,43892362
Richard Jewell,51.1%,48.9%,tt3513548,2019-01-01,131,Biography,Crime,Drama,7.5,82540,43745542
Harriet,99.4%,0.6%,tt4648786,2019-01-01,125,Action,Biography,Drama,6.6,25610,43347017
The Snowman,15.5%,84.5%,tt1758810,2017-01-01,119,Crime,Drama,Thriller,5.1,62558,43155261
A Shaun the Sheep Movie: Farmageddon,-,100%,tt6193408,2019-01-01,86,Adventure,Animation,Comedy,6.8,13308,43100248
Annihilation,76%,24%,tt2798920,2018-01-01,115,Adventure,Drama,Horror,6.8,310313,43070915
Gifted,57.6%,42.4%,tt4481414,2017-01-01,101,Drama,NA,NA,7.6,112367,43046590
The Possession of Hannah Grace,34.5%,65.5%,tt5734576,2018-01-01,86,Horror,Mystery,Thriller,5.2,22172,43016528
Spirit Untamed,41.5%,58.5%,tt11084896,2021-01-01,88,Adventure,Animation,Comedy,5.5,3333,42717215
Peninsula,2.9%,97.1%,tt8850222,2020-01-01,116,Action,Horror,Thriller,5.5,30913,42698327
Son of a Rich,-,100%,tt11418452,2019-01-01,109,Comedy,NA,NA,6.7,4248,42392054
Loving Vincent,16%,84%,tt3262342,2017-01-01,94,Animation,Biography,Crime,7.8,56474,42187665
Monster Hunter,36%,64%,tt6475714,2020-01-01,103,Action,Adventure,Fantasy,5.3,54810,42145959
Long Day's Journey Into Night,1.2%,98.8%,tt8185182,2018-01-01,138,Drama,Mystery,Romance,7.1,7890,42140994
Mary and the Witch's Flower,5.8%,94.2%,tt6336356,2017-01-01,103,Adventure,Animation,Family,6.8,13967,41978431
Call Me by Your Name,43.2%,56.8%,tt5726616,2017-01-01,132,Drama,Romance,NA,7.9,254273,41887595
T2 Trainspotting,5.8%,94.2%,tt2763304,2017-01-01,117,Drama,NA,NA,7.2,121858,41681746
Overlord,52.1%,47.9%,tt4530422,2018-01-01,110,Action,Horror,Sci-Fi,6.6,96115,41657844
The Great Battle,1.1%,98.9%,tt6931414,2018-01-01,136,Action,Drama,History,7,4933,41509280
The Darkest Minds,30.9%,69.1%,tt4073790,2018-01-01,104,Action,Adventure,Drama,5.7,31579,41142379
Fist Fight,78.3%,21.7%,tt3401882,2017-01-01,91,Comedy,NA,NA,5.6,42206,41087017
"Lost, Found",-,100%,tt9034530,2018-01-01,102,Drama,Mystery,NA,6.5,309,41043552
Underwater,42.3%,57.7%,tt5774060,2020-01-01,95,Action,Horror,Sci-Fi,5.8,78027,40882928
Fighting with My Family,56.3%,43.7%,tt6513120,2019-01-01,108,Biography,Comedy,Drama,7.1,78760,40812363
The War with Grandpa,52.3%,47.7%,tt4532038,2020-01-01,94,Comedy,Drama,Family,5.6,19621,40709936
The Circle,50.4%,49.6%,tt4287320,2017-01-01,110,Drama,Sci-Fi,Thriller,5.3,90899,40656399
Spiral,57.2%,42.8%,tt10342730,2021-01-01,93,Crime,Drama,Horror,5.2,46849,40618920
Holmes & Watson,75.6%,24.4%,tt1255919,2018-01-01,90,Comedy,Crime,Mystery,3.9,35686,40466970
Masquerade Hotel,-,100%,tt7502322,2019-01-01,133,Crime,Drama,Mystery,6.3,1750,40396244
Diary of a Wimpy Kid: The Long Haul,51.7%,48.3%,tt6003368,2017-01-01,91,Adventure,Comedy,Family,4.3,8819,40140972
Snake Eyes,70.5%,29.5%,tt0120832,1998-01-01,98,Crime,Mystery,Thriller,6.1,80401,40064325
Brotherhood of Blades 2,<0.1%,100%,tt7055592,2017-01-01,120,Action,Adventure,Drama,6.6,1902,39966092
The Last Wish,-,100%,tt10219674,2019-01-01,107,Drama,NA,NA,5.2,131,39756292
Midnight Runners,-,100%,tt7056732,2017-01-01,109,Action,Comedy,Crime,7.3,6962,39730433
Tokyo Revengers,-,100%,tt11923304,2021-01-01,120,Action,Crime,Drama,7.1,1088,39714073
Nightmare Alley,28.6%,71.4%,tt7740496,2021-01-01,150,Crime,Drama,Thriller,7.1,100937,39629195
Intimate Strangers,-,100%,tt0363532,2004-01-01,104,Drama,Romance,Thriller,6.9,5064,39576060
Thugs of Hindostan,3.7%,96.3%,tt5970844,2018-01-01,164,Action,Adventure,NA,4.1,19265,39570044
Nomadland,9.4%,90.6%,tt9770150,2020-01-01,107,Drama,NA,NA,7.3,148470,39458207
Uri: The Surgical Strike,10.6%,89.4%,tt8291224,2019-01-01,138,Action,Drama,History,8.4,57785,39346577
Sink or Swim,-,100%,tt7476116,2018-01-01,121,Comedy,Drama,Sport,6.9,10477,39193850
Show Dogs,45.6%,54.4%,tt5691024,2018-01-01,92,Adventure,Comedy,Crime,3.9,4660,39156854
Believer,0.9%,99.1%,tt7095654,2018-01-01,123,Action,Crime,Thriller,6.5,2381,39047153
The Spy Gone North,1.3%,98.7%,tt8290698,2018-01-01,137,Drama,Thriller,NA,7.3,4920,38844509
On the Basis of Sex,63.7%,36.3%,tt4669788,2018-01-01,120,Biography,Drama,NA,7.1,33425,38673750
Resident Evil: Welcome to Raccoon City,44%,56%,tt6920084,2021-01-01,107,Action,Horror,Sci-Fi,5.2,40222,38600612
Taxi 5,-,100%,tt7238392,2018-01-01,102,Action,Comedy,Crime,4.7,9207,38598227
King Richard,39.4%,60.6%,tt9620288,2021-01-01,144,Biography,Drama,Sport,7.5,75102,38429285
Arashi Anniversary Tour 5 x 20 Film: Record of Memories,-,100%,tt14734538,2021-01-01,147,Music,NA,NA,8.8,24,38052695
Overcomer,91.4%,8.6%,tt8186318,2019-01-01,119,Drama,Family,Sport,6.6,4750,38026103
The King,-,100%,tt7984766,2019-01-01,140,Biography,Drama,History,7.3,119530,37886707
The Yinyang Master,-,100%,tt12151820,2021-01-01,113,Action,Adventure,Drama,6.4,2554,37690000
Pokémon the Movie: I Choose You!,6.4%,93.6%,tt6595896,2017-01-01,98,Action,Adventure,Animation,6.3,6742,37552144
Fat Buddies,-,100%,tt8845432,2018-01-01,109,Action,Comedy,NA,4.4,163,37496410
Sarileru Neekevvaru,2.2%,97.8%,tt10773090,2020-01-01,169,Action,Comedy,Drama,6.2,7112,37389889
Pain and Glory,12.2%,87.8%,tt8291806,2019-01-01,113,Drama,NA,NA,7.5,56350,37359689
Home Again,72.5%,27.5%,tt5719700,2017-01-01,97,Comedy,Drama,Romance,5.8,31648,37270721
A Witness Out of the Blue,-,100%,tt11076480,2019-01-01,104,Crime,Mystery,Thriller,6.1,608,37092694
Till The End Of The World,0.3%,99.7%,tt7962598,2018-01-01,117,Adventure,Drama,NA,6.6,368,37013733
Rurouni Kenshin: Final Chapter Part I - The Final,-,100%,tt11809034,2021-01-01,138,Action,Drama,NA,7.2,8190,36964978
2.0,11.2%,88.8%,tt5080556,2018-01-01,148,Action,Sci-Fi,Thriller,6.4,23640,36945969
The Adventurers,0.6%,99.4%,tt5866930,2017-01-01,140,Action,Adventure,Crime,5.6,3030,36796816
New Interpretation Records of the Three Kingdoms,-,100%,tt12718318,2020-01-01,113,Comedy,History,NA,4.8,165,36747486
The Intruder,96.8%,3.2%,tt6722030,2019-01-01,102,Thriller,NA,NA,5.6,16973,36599361
The Confidence Man JP: Princess,-,100%,tt12767996,2020-01-01,124,Comedy,Crime,NA,6.8,999,36109913
The Door Lock,-,100%,tt13010918,2021-01-01,105,Crime,Drama,Thriller,4.7,73,36100000
Nothing to Lose,2.8%,97.2%,tt0119807,1997-01-01,98,Action,Adventure,Comedy,6.7,46135,36075317
T-34,-,100%,tt8820590,2018-01-01,139,Action,War,NA,6.8,12005,35950901
"Tad, the Lost Explorer, and the Secret of King Midas",<0.1%,100%,tt3896102,2017-01-01,85,Adventure,Animation,Comedy,6.2,3302,35704046
Hostiles,83.6%,16.4%,tt5478478,2017-01-01,134,Drama,Western,NA,7.2,82027,35669017
The Queen's Corgi,-,100%,tt6563576,2019-01-01,85,Animation,Comedy,Family,4.8,6614,35515687
Mia and the White Lion,1.1%,98.9%,tt4844148,2018-01-01,98,Adventure,Drama,Family,6.5,5284,35487190
Namiya,0.2%,99.8%,tt7645502,2017-01-01,116,Drama,Family,Fantasy,5,516,35351623
Destiny: The Tale of Kamakura,-,100%,tt6493648,2017-01-01,129,Crime,Drama,Fantasy,6.7,1255,35166640
The Girl in the Spider's Web,42.2%,57.8%,tt5177088,2018-01-01,115,Action,Crime,Drama,6.1,46713,35164920
The Liquidator,-,100%,tt0059390,1965-01-01,105,Action,Comedy,Crime,5.9,1072,35046130
I Fell in Love Like a Flower Bouquet,-,100%,tt11219254,2021-01-01,124,Drama,Romance,NA,7.3,1588,34975905
The Hate U Give,85.1%,14.9%,tt5580266,2018-01-01,133,Crime,Drama,NA,7.4,35311,34934009
Kidnap,89%,11%,tt1458169,2017-01-01,95,Action,Crime,Drama,5.9,36579,34814102
The Man Standing Next,0.3%,99.7%,tt11358398,2020-01-01,114,Drama,History,Thriller,6.9,3026,34664900
R.A.I.D. Special Unit,-,100%,tt5736696,2016-01-01,105,Action,Comedy,Romance,5.5,3951,34598750
My Mom is a Character 3,-,100%,tt10611372,2019-01-01,111,Comedy,NA,NA,7,2234,34360029
The House,74.8%,25.2%,tt4481514,2017-01-01,88,Comedy,Crime,NA,5.6,43531,34184504
The Battle: Roar to Victory,-,100%,tt10510654,2019-01-01,135,Action,Drama,History,6.3,683,34148707
The Bad Guys: The Movie,0.5%,99.5%,tt10726604,2019-01-01,114,Action,Crime,Thriller,6.1,1461,34024386
Malignant,39.4%,60.6%,tt3811906,2021-01-01,111,Crime,Horror,Mystery,6.3,78934,33991791
Doraemon the Movie: Nobita's New Dinosaur,-,100%,tt10588750,2020-01-01,110,Adventure,Animation,Comedy,7.6,932,33942341
The Good Liar,50.7%,49.3%,tt5563334,2019-01-01,109,Crime,Drama,Mystery,6.7,39346,33856058
The Art of Racing in the Rain,78.2%,21.8%,tt1478839,2019-01-01,109,Comedy,Drama,Romance,7.6,29835,33766787
I Want to Eat Your Pancreas,0.8%,99.2%,tt7236034,2018-01-01,109,Animation,Drama,Family,8.1,14468,33748006
Deliver Us from Evil,-,100%,tt2377322,2014-01-01,118,Crime,Drama,Fantasy,6.2,75775,33718703
Nobody's Fool,94.1%,5.9%,tt0110684,1994-01-01,110,Comedy,Drama,NA,7.3,20064,33705333
Bloodshot,37.5%,62.5%,tt1634106,2020-01-01,109,Action,Adventure,Sci-Fi,5.7,75096,33542457
Perfect Strangers,3.1%,96.9%,tt4901306,2016-01-01,96,Comedy,Drama,NA,7.7,63576,33262366
Bharat,9%,91%,tt7721800,2019-01-01,150,Action,Comedy,Drama,4.9,30510,33185983
Baaghi 2,4%,96%,tt6843812,2018-01-01,137,Action,Crime,Drama,4.9,10420,33139063
Sleepless,63.1%,36.9%,tt2072233,2017-01-01,95,Action,Crime,Thriller,5.6,31996,32917353
Brightburn,52.6%,47.4%,tt7752126,2019-01-01,90,Drama,Horror,Mystery,6.1,93567,32893421
Hindi Medium,-,100%,tt5764096,2017-01-01,132,Comedy,Drama,NA,7.9,27736,32841493
Fly Me to the Saitama,-,100%,tt8860946,2019-01-01,106,Comedy,Drama,Fantasy,6.3,723,32802347
Big Red Envelope,-,100%,tt13917134,2021-01-01,122,NA,NA,NA,4.7,38,32800000
Steel Rain,-,100%,tt6769508,2017-01-01,139,Action,Drama,Thriller,7.1,5452,32783733
The Hurricane Heist,18.8%,81.2%,tt5360952,2018-01-01,103,Action,Adventure,Crime,5.1,20455,32517248
UglyDolls,62.1%,37.9%,tt1946502,2019-01-01,87,Adventure,Animation,Comedy,5,6748,32450241
The House That Never Dies II,-,100%,tt7627782,2017-01-01,97,Horror,Thriller,NA,4.9,87,32433588
Stuber,69.1%,30.9%,tt7734218,2019-01-01,93,Action,Comedy,Crime,6.2,46186,32390945
Hit Me Anyone One More Time!,-,100%,tt8825764,2019-01-01,127,Comedy,Drama,NA,6.1,536,32333512
Masquerade Night,-,100%,tt13582738,2021-01-01,129,Crime,Drama,Mystery,6.5,263,32287400
Licorice Pizza,53.7%,46.3%,tt11271038,2021-01-01,133,Comedy,Drama,Romance,7.4,68838,32221770
Somewhere Winter,-,100%,tt11162126,2019-01-01,125,Drama,NA,NA,6,102,32218990
Once Upon a Time in Hong Kong,-,100%,tt14466064,2021-01-01,105,Action,Crime,History,5.5,149,32218874
Home Sweet Home,-,100%,tt2348394,2013-01-01,80,Horror,Mystery,Thriller,4.7,1772,32178677
The Kid Who Would Be King,52.2%,47.8%,tt6811018,2019-01-01,120,Action,Adventure,Family,6.1,16475,32140970
Respect,75.6%,24.4%,tt2452150,2021-01-01,145,Biography,Drama,Music,6.5,11334,32121125
Two Tigers,-,100%,tt0867205,2007-01-01,90,Action,Crime,Drama,4.2,438,32001580
All About Me,-,100%,tt5581284,2018-01-01,100,Biography,Comedy,Drama,7.3,4354,31920159
Bad Times at the El Royale,56%,44%,tt6628394,2018-01-01,141,Crime,Drama,Mystery,7.1,144078,31882724
Beautiful Boy,24.1%,75.9%,tt1226837,2018-01-01,120,Biography,Drama,NA,7.3,70489,31711319
Hunter Killer,49.8%,50.2%,tt1846589,2018-01-01,121,Action,Thriller,NA,6.6,61521,31672678
Anna,24.5%,75.5%,tt7456310,2019-01-01,118,Action,Thriller,NA,6.6,77830,31626978
Super Troopers 2,96.8%,3.2%,tt0859635,2018-01-01,100,Comedy,Crime,Mystery,6,26199,31626386
Honest Thief,45.4%,54.6%,tt1838556,2020-01-01,99,Action,Crime,Drama,6,47698,31220247
The Invisible Guest,-,100%,tt4857264,2016-01-01,106,Crime,Drama,Mystery,8.1,169060,31191910
My Dear Liar,0.3%,99.7%,tt11091530,2019-01-01,116,Drama,NA,NA,6.4,291,31177968
The Wild Goose Lake,<0.1%,100%,tt9647768,2019-01-01,113,Crime,Drama,NA,6.8,6520,31064835
The Strangers: Prey at Night,79.2%,20.8%,tt1285009,2018-01-01,85,Horror,NA,NA,5.2,30366,31039126
This Is Not What I Expected,1.1%,98.9%,tt6772874,2017-01-01,106,Comedy,Drama,Romance,6.7,1581,30996615
Gintama 2: Rules are Made to be Broken,-,100%,tt7639528,2018-01-01,134,Action,Adventure,Comedy,6.4,1017,30896653
The Unholy,50.4%,49.6%,tt9419056,2021-01-01,99,Drama,Horror,Mystery,5.1,18733,30832137
The Last Warrior,-,100%,tt6175394,2017-01-01,114,Action,Adventure,Comedy,6.5,2858,30618274
The Last Duel,35.5%,64.5%,tt4244994,2021-01-01,152,Action,Drama,History,7.4,131693,30552111
Like a Boss,72.9%,27.1%,tt7545266,2020-01-01,83,Comedy,NA,NA,4.6,13481,30399490
The Way of the Bug,-,100%,tt8793220,2018-01-01,99,Comedy,NA,NA,4.3,36,30355804
Clergy,-,100%,tt8738964,2018-01-01,133,Drama,NA,NA,7.4,5617,30114115
My Hero Academia: Heroes Rising,44.4%,55.6%,tt11107074,2019-01-01,104,Action,Adventure,Animation,7.9,7390,29971229
The Little Things,51.2%,48.8%,tt10016180,2021-01-01,128,Crime,Drama,Mystery,6.3,92095,29942746
The Bye Bye Man,75%,25%,tt4030600,2017-01-01,96,Drama,Fantasy,Horror,4.3,23611,29874280
Escape from Mogadishu,1.2%,98.8%,tt14810692,2021-01-01,121,Action,Drama,Thriller,7.1,3928,29867185
The Disaster Artist,70.8%,29.2%,tt3521126,2017-01-01,104,Biography,Comedy,Drama,7.3,149826,29820616
Ice,-,100%,tt5844488,2018-01-01,113,Drama,Musical,Romance,6.9,3243,29806210
The Swindlers,0.8%,99.2%,tt7243686,2017-01-01,117,Action,Crime,Thriller,6.6,1953,29721916
Free Solo,59.7%,40.3%,tt7775622,2018-01-01,100,Adventure,Documentary,Sport,8.1,64638,29390279
Alibi.com,-,100%,tt5657028,2017-01-01,90,Comedy,NA,NA,6.5,8146,29370592
Sword Art Online the Movie: Ordinal Scale,5.2%,94.8%,tt5544384,2017-01-01,119,Action,Adventure,Animation,7.4,7765,29322339
Fall In Love At First Kiss,-,100%,tt9657764,2019-01-01,122,Comedy,Romance,NA,6,685,29206238
Dark Figure of Crime,-,100%,tt8119680,2018-01-01,110,Crime,Drama,NA,6.7,2027,29176133
Pad Man,5.8%,94.2%,tt7218518,2018-01-01,140,Biography,Comedy,Drama,8,25136,29045020
Recep Ivedik 5,-,100%,tt6439558,2017-01-01,114,Comedy,NA,NA,3.4,15993,28952258
Mirai,2.8%,97.2%,tt6900448,2018-01-01,98,Adventure,Animation,Drama,7,15194,28756961
Judwaa 2,5%,95%,tt5456546,2017-01-01,145,Action,Comedy,NA,3.6,10542,28733523
Bath Buddy,-,100%,tt13347818,2020-01-01,103,Comedy,NA,NA,5.9,304,28700000
Master,-,100%,tt10579952,2021-01-01,179,Action,Thriller,NA,8,68781,28692230
The Fortress,0.9%,99.1%,tt7160176,2017-01-01,140,Action,Drama,History,6.8,2413,28645448
Ala Vaikunthapurramuloo,-,100%,tt9537292,2020-01-01,163,Action,Comedy,Drama,7.5,15104,28477890
The Last Warrior: Root of Evil,-,100%,tt13606158,2021-01-01,121,Adventure,Comedy,Family,5.9,921,28357398
Gully Boy,19.7%,80.3%,tt2395469,2019-01-01,154,Drama,Music,Romance,7.9,37865,28299498
What Happened to Monday,-,100%,tt1536537,2017-01-01,123,Action,Crime,Fantasy,6.9,119368,27975429
Monster Family,0.5%,99.5%,tt6572702,2017-01-01,93,Animation,Comedy,Family,4.8,4736,27890108
The Beguiled,38.4%,61.6%,tt5592248,2017-01-01,93,Drama,Thriller,War,6.3,56681,27869129
Kim Ji-young: Born 1982,-,100%,tt11052808,2019-01-01,118,Drama,NA,NA,7.3,3327,27696393
Default,0.7%,99.3%,tt7233726,2018-01-01,114,Drama,History,NA,6.7,1237,27694043
One Cut of the Dead,0.2%,99.8%,tt7914416,2017-01-01,96,Comedy,Drama,Horror,7.6,22756,27590180
The Happytime Murders,75.3%,24.7%,tt1308728,2018-01-01,91,Action,Comedy,Crime,5.4,27583,27506452
Midnight Sun,34.9%,65.1%,tt4799066,2018-01-01,91,Drama,Romance,NA,6.6,29640,27365467
Pokémon: Mewtwo Strikes Back - Evolution,-,100%,tt8856470,2019-01-01,98,Action,Animation,Family,5.7,5328,27347118
The Witches,0.8%,99.2%,tt0100944,1990-01-01,91,Adventure,Comedy,Family,6.8,48829,27103571
Scooby-Doo: A New Universe,8.1%,91.9%,tt3152592,2020-01-01,93,Adventure,Animation,Comedy,5.6,25333,27088425
Almost a Comedy,-,100%,tt11273332,2019-01-01,111,Drama,NA,NA,6.7,553,26990962
Total Dhamaal,8.1%,91.9%,tt7639372,2019-01-01,130,Action,Adventure,Comedy,4.2,6850,26911995
CHIPS,69.4%,30.6%,tt0493405,2017-01-01,100,Action,Comedy,Crime,6,46298,26800152
The Faces of My Gene,-,100%,tt8443556,2018-01-01,95,Adventure,Comedy,Drama,3.7,150,26796279
A Cure for Wellness,30.5%,69.5%,tt4731136,2016-01-01,146,Drama,Fantasy,Horror,6.4,95058,26620002
Missing Link,62.7%,37.3%,tt6348138,2019-01-01,93,Adventure,Animation,Comedy,6.7,25261,26565710
American Underdog,100%,-,tt11729298,2021-01-01,112,Biography,Drama,Sport,7.2,8610,26514814
Chaos Walking,50.1%,49.9%,tt2076822,2021-01-01,109,Action,Adventure,Fantasy,5.7,42581,26508132
No Manches Frida 2,35%,65%,tt9019352,2019-01-01,102,Comedy,NA,NA,4.2,1001,26493648
Emma.,38.1%,61.9%,tt9214832,2020-01-01,124,Comedy,Drama,Romance,6.7,47865,26404660
Only the Brave,69.6%,30.4%,tt3829920,2017-01-01,134,Action,Biography,Drama,7.6,66031,26351322
Twenty Two,0.2%,99.8%,tt3843282,2015-01-01,112,Crime,Documentary,History,7.4,491,26289378
The Zookeeper's Wife,67.2%,32.8%,tt1730768,2017-01-01,127,Biography,Drama,History,7,42612,26152835
